NA, FW_VERSION, FW_DATE 
HP8720D,07.74,"Oct 30, 2002"
DATE, TIME,
" 6 Jul 2021 ","11:29:30",
CHAN,MEAS,FORMAT
1,S11,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,20050000000,
POINTS, POWER, IF_BW
401,0E0,3000
FREQUENCY,UNITS,
Hz,dB,
50000000,-24.885,
100000000,-19.299,
150000000,-15.845,
200000000,-13.82,
250000000,-11.872,
300000000,-10.351,
350000000,-9.374,
400000000,-8.168,
450000000,-7.433,
500000000,-6.734,
550000000,-5.944,
600000000,-5.614,
650000000,-5.115,
700000000,-4.481,
750000000,-4.174,
800000000,-3.981,
850000000,-3.669,
900000000,-3.520,
950000000,-3.190,
1000000000,-3.441,
1050000000,-3.163,
1100000000,-2.709,
1150000000,-2.945,
1200000000,-2.891,
1250000000,-2.877,
1300000000,-2.997,
1350000000,-2.921,
1400000000,-2.956,
1450000000,-3.026,
1500000000,-3.224,
1550000000,-3.407,
1600000000,-3.460,
1650000000,-3.552,
1700000000,-3.984,
1750000000,-3.883,
1800000000,-3.811,
1850000000,-4.130,
1900000000,-3.994,
1950000000,-4.307,
2000000000,-4.173,
2050000000,-4.578,
2100000000,-4.124,
2150000000,-4.376,
2200000000,-3.640,
2250000000,-4.109,
2300000000,-3.556,
2350000000,-3.752,
2400000000,-3.562,
2450000000,-3.143,
2500000000,-3.178,
2550000000,-2.632,
2600000000,-2.707,
2650000000,-2.11,
2700000000,-2.541,
2750000000,-1.685,
2800000000,-2.352,
2850000000,-1.376,
2900000000,-2.015,
2950000000,-1.28,
3000000000,-1.466,
3050000000,-1.414,
3100000000,-1.321,
3150000000,-1.563,
3200000000,-1.128,
3250000000,-1.584,
3300000000,-.948,
3350000000,-1.803,
3400000000,-1.108,
3450000000,-2.004,
3500000000,-1.155,
3550000000,-1.980,
3600000000,-1.438,
3650000000,-1.927,
3700000000,-1.885,
3750000000,-1.922,
3800000000,-2.003,
3850000000,-1.856,
3900000000,-2.284,
3950000000,-1.903,
4000000000,-2.237,
4050000000,-1.823,
4100000000,-2.258,
4150000000,-1.743,
4200000000,-2.226,
4250000000,-1.597,
4300000000,-1.755,
4350000000,-1.373,
4400000000,-1.534,
4450000000,-1.455,
4500000000,-1.195,
4550000000,-1.118,
4600000000,-.980,
4650000000,-.876,
4700000000,-.899,
4750000000,-.621,
4800000000,-.484,
4850000000,-.431,
4900000000,-.190,
4950000000,-.660,
5000000000,-.140,
5050000000,-.619,
5100000000,-.028,
5150000000,-.689,
5200000000, .015,
5250000000,-.926,
5300000000,-.153,
5350000000,-.905,
5400000000,-.348,
5450000000,-.906,
5500000000,-.904,
5550000000,-.736,
5600000000,-1.334,
5650000000,-.596,
5700000000,-1.845,
5750000000,-.737,
5800000000,-2.113,
5850000000,-.988,
5900000000,-1.769,
5950000000,-1.179,
6000000000,-1.684,
6050000000,-1.384,
6100000000,-1.524,
6150000000,-1.353,
6200000000,-1.111,
6250000000,-1.472,
6300000000,-.715,
6350000000,-1.855,
6400000000,-.423,
6450000000,-1.384,
6500000000,-.483,
6550000000,-.899,
6600000000,-.474,
6650000000,-.846,
6700000000,-.084,
6750000000,-.573,
6800000000,-.053,
6850000000,-.429,
6900000000,-.284,
6950000000, .251,
7000000000,-.545,
7050000000, .179,
7100000000,-.576,
7150000000,-.196,
7200000000,-.558,
7250000000, .193,
7300000000,-.677,
7350000000,-.266,
7400000000,-1.380,
7450000000,-.286,
7500000000,-1.149,
7550000000,-.675,
7600000000,-.970,
7650000000,-1.217,
7700000000,-1.506,
7750000000,-1.544,
7800000000,-1.131,
7850000000,-1.886,
7900000000,-1.483,
7950000000,-1.752,
8000000000,-1.205,
8050000000,-1.937,
8100000000,-1.102,
8150000000,-1.940,
8200000000,-1.165,
8250000000,-1.796,
8300000000,-.636,
8350000000,-1.339,
8400000000,-1.115,
8450000000,-.991,
8500000000,-.968,
8550000000,-.526,
8600000000,-.779,
8650000000,-.273,
8700000000,-1.014,
8750000000,-.115,
8800000000,-1.029,
8850000000, .421,
8900000000,-1.079,
8950000000, .095,
9000000000,-.812,
9050000000,-.327,
9100000000,-.428,
9150000000,-.789,
9200000000,-.463,
9250000000,-1.013,
9300000000,-.579,
9350000000,-.988,
9400000000,-.553,
9450000000,-1.474,
9500000000,-.707,
9550000000,-1.546,
9600000000,-.842,
9650000000,-1.653,
9700000000,-1.118,
9750000000,-1.787,
9800000000,-1.576,
9850000000,-1.845,
9900000000,-1.340,
9950000000,-1.830,
10000000000,-1.531,
10050000000,-1.647,
10100000000,-1.403,
10150000000,-1.641,
10200000000,-1.691,
10250000000,-.983,
10300000000,-2.081,
10350000000,-.399,
10400000000,-1.815,
10450000000,-.268,
10500000000,-1.406,
10550000000,-.575,
10600000000,-.964,
10650000000,-.589,
10700000000,-.993,
10750000000,-.361,
10800000000,-.656,
10850000000,-.870,
10900000000, .021,
10950000000,-1.473,
11000000000, .291,
11050000000,-1.307,
11100000000,-.055,
11150000000,-.818,
11200000000,-.419,
11250000000,-.762,
11300000000,-.685,
11350000000,-1.292,
11400000000,-.819,
11450000000,-1.360,
11500000000,-1.112,
11550000000,-1.054,
11600000000,-1.581,
11650000000,-1.429,
11700000000,-1.597,
11750000000,-1.554,
11800000000,-1.549,
11850000000,-1.636,
11900000000,-1.894,
11950000000,-1.376,
12000000000,-2.531,
12050000000,-.609,
12100000000,-2.574,
12150000000,-.559,
12200000000,-2.424,
12250000000,-.717,
12300000000,-1.590,
12350000000,-.972,
12400000000,-.610,
12450000000,-1.543,
12500000000,-.154,
12550000000,-1.721,
12600000000, .097,
12650000000,-1.996,
12700000000, .123,
12750000000,-1.719,
12800000000, .452,
12850000000,-1.278,
12900000000,-.196,
12950000000,-1.063,
13000000000,-1.45,
13050000000,-.167,
13100000000,-1.969,
13150000000,-.417,
13200000000,-2.152,
13250000000,-1.431,
13300000000,-1.762,
13350000000,-1.631,
13400000000,-2.024,
13450000000,-1.871,
13500000000,-2.557,
13550000000,-1.690,
13600000000,-1.991,
13650000000,-1.938,
13700000000,-1.935,
13750000000,-2.153,
13800000000,-2.756,
13850000000,-1.005,
13900000000,-2.855,
13950000000,-.720,
14000000000,-2.544,
14050000000,-1.401,
14100000000,-1.533,
14150000000,-2.204,
14200000000,-.472,
14250000000,-2.622,
14300000000,-.403,
14350000000,-2.891,
14400000000,-.081,
14450000000,-2.782,
14500000000, .236,
14550000000,-1.997,
14600000000,-.026,
14650000000,-1.077,
14700000000,-.995,
14750000000, .075,
14800000000,-2.191,
14850000000, .602,
14900000000,-3.130,
14950000000, .507,
15000000000,-3.167,
15050000000, .160,
15100000000,-2.166,
15150000000,-.343,
15200000000,-1.531,
15250000000,-.986,
15300000000,-1.398,
15350000000,-2.021,
15400000000,-1.284,
15450000000,-2.712,
15500000000,-1.060,
15550000000,-2.731,
15600000000,-1.189,
15650000000,-2.902,
15700000000,-2.242,
15750000000,-2.458,
15800000000,-2.698,
15850000000,-2.225,
15900000000,-2.617,
15950000000,-2.981,
16000000000,-2.247,
16050000000,-3.242,
16100000000,-2.060,
16150000000,-3.245,
16200000000,-2.223,
16250000000,-2.965,
16300000000,-2.445,
16350000000,-2.750,
16400000000,-2.379,
16450000000,-2.838,
16500000000,-3.191,
16550000000,-2.418,
16600000000,-4.061,
16650000000,-1.938,
16700000000,-4.674,
16750000000,-2.169,
16800000000,-5.166,
16850000000,-3.031,
16900000000,-5.633,
16950000000,-4.280,
17000000000,-6.123,
17050000000,-5.667,
17100000000,-7.128,
17150000000,-7.286,
17200000000,-8.861,
17250000000,-10.856,
17300000000,-10.802,
17350000000,-15.173,
17400000000,-12.624,
17450000000,-21.58,
17500000000,-12.413,
17550000000,-16.901,
17600000000,-11.96,
17650000000,-12.188,
17700000000,-11.039,
17750000000,-8.760,
17800000000,-9.818,
17850000000,-6.592,
17900000000,-9.730,
17950000000,-5.231,
18000000000,-9.811,
18050000000,-4.566,
18100000000,-9.119,
18150000000,-3.608,
18200000000,-7.361,
18250000000,-3.894,
18300000000,-5.366,
18350000000,-4.783,
18400000000,-3.568,
18450000000,-5.112,
18500000000,-2.805,
18550000000,-6.413,
18600000000,-2.699,
18650000000,-6.873,
18700000000,-2.343,
18750000000,-5.890,
18800000000,-2.219,
18850000000,-5.006,
18900000000,-3.294,
18950000000,-3.538,
19000000000,-4.685,
19050000000,-2.837,
19100000000,-5.460,
19150000000,-2.577,
19200000000,-5.596,
19250000000,-3.201,
19300000000,-4.952,
19350000000,-4.247,
19400000000,-4.168,
19450000000,-5.085,
19500000000,-3.987,
19550000000,-5.660,
19600000000,-4.080,
19650000000,-5.589,
19700000000,-4.364,
19750000000,-4.899,
19800000000,-5.093,
19850000000,-4.138,
19900000000,-6.582,
19950000000,-3.164,
20000000000,-7.600,
20050000000,-2.684,

